fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol, quality
7.7, 0.49, 0.26, 1.9, 0.062, 9.0, 31.0, 0.9966, 3.39, 0.64, 9.6, 5
8.4, 0.56, 0.08, 2.1, 0.105, 16.0, 44.0, 0.9958, 3.13, 0.52, 11.0, 5
9.2, 0.31, 0.36, 2.2, 0.079, 11.0, 31.0, 0.99615, 3.33, 0.86, 12.0, 7
8.6, 0.49, 0.29, 2.0, 0.11, 19.0, 133.0, 0.9972, 2.93, 1.98, 9.8, 5
7.2, 0.62, 0.06, 2.7, 0.077, 15.0, 85.0, 0.99746, 3.51, 0.54, 9.5, 5
7.8, 0.5, 0.09, 2.2, 0.115, 10.0, 42.0, 0.9971, 3.18, 0.62, 9.5, 5
8.3, 0.56, 0.22, 2.4, 0.08199999999999999, 10.0, 86.0, 0.9983, 3.37, 0.62, 9.5, 5
8.9, 0.59, 0.39, 2.3, 0.095, 5.0, 22.0, 0.9986, 3.37, 0.58, 10.3, 5
7.7, 0.69, 0.05, 2.7, 0.075, 15.0, 27.0, 0.9974, 3.26, 0.61, 9.1, 5
7.3, 0.98, 0.05, 2.1, 0.061, 20.0, 49.0, 0.99705, 3.31, 0.55, 9.7, 3
5.9, 0.61, 0.08, 2.1, 0.071, 16.0, 24.0, 0.9937600000000001, 3.56, 0.77, 11.1, 6
6.9, 0.605, 0.12, 10.7, 0.073, 40.0, 83.0, 0.9993, 3.45, 0.52, 9.4, 6
14.3, 0.31, 0.74, 1.8, 0.075, 6.0, 15.0, 1.0008, 2.86, 0.79, 8.4, 6
5.9, 0.55, 0.1, 2.2, 0.062, 39.0, 51.0, 0.9951200000000001, 3.52, 0.76, 11.2, 6
9.9, 0.54, 0.26, 2.0, 0.111, 7.0, 60.0, 0.9970899999999999, 2.94, 0.98, 10.2, 5
9.8, 0.66, 0.39, 3.2, 0.083, 21.0, 59.0, 0.9989, 3.37, 0.71, 11.5, 7
7.8, 0.5, 0.3, 1.9, 0.075, 8.0, 22.0, 0.9959, 3.31, 0.56, 10.4, 6
8.3, 0.42, 0.38, 2.5, 0.094, 24.0, 60.0, 0.9979, 3.31, 0.7, 10.8, 6
7.7, 0.75, 0.27, 3.8, 0.11, 34.0, 89.0, 0.99664, 3.24, 0.45, 9.3, 5
5.7, 0.6, 0.0, 1.4, 0.063, 11.0, 18.0, 0.9919100000000001, 3.45, 0.56, 12.2, 6
10.4, 0.64, 0.24, 2.8, 0.105, 29.0, 53.0, 0.9998, 3.24, 0.67, 9.9, 5
9.0, 0.785, 0.24, 1.7, 0.078, 10.0, 21.0, 0.99692, 3.29, 0.67, 10.0, 5
7.6, 0.51, 0.15, 2.8, 0.11, 33.0, 73.0, 0.9955, 3.17, 0.63, 10.2, 6
7.2, 0.695, 0.13, 2.0, 0.076, 12.0, 20.0, 0.99546, 3.29, 0.54, 10.1, 5
7.6, 0.41, 0.14, 3.0, 0.087, 21.0, 43.0, 0.9964, 3.32, 0.57, 10.5, 6
10.4, 0.26, 0.48, 1.9, 0.066, 6.0, 10.0, 0.99724, 3.33, 0.87, 10.9, 6
7.7, 0.54, 0.26, 1.9, 0.08900000000000001, 23.0, 147.0, 0.99636, 3.26, 0.59, 9.7, 5
7.1, 0.43, 0.42, 5.5, 0.07, 29.0, 129.0, 0.9973, 3.42, 0.72, 10.5, 5
9.9, 0.32, 0.56, 2.0, 0.073, 3.0, 8.0, 0.99534, 3.15, 0.73, 11.4, 6
8.9, 0.61, 0.49, 2.0, 0.27, 23.0, 110.0, 0.9972, 3.12, 1.02, 9.3, 5
7.5, 0.38, 0.57, 2.3, 0.106, 5.0, 12.0, 0.99605, 3.36, 0.55, 11.4, 6
6.8, 0.91, 0.06, 2.0, 0.06, 4.0, 11.0, 0.99592, 3.53, 0.64, 10.9, 4
8.4, 0.715, 0.2, 2.4, 0.076, 10.0, 38.0, 0.99735, 3.31, 0.64, 9.4, 5
7.6, 0.665, 0.1, 1.5, 0.066, 27.0, 55.0, 0.99655, 3.39, 0.51, 9.3, 5
7.1, 0.59, 0.0, 2.1, 0.091, 9.0, 14.0, 0.9948799999999999, 3.42, 0.55, 11.5, 7
7.2, 0.33, 0.33, 1.7, 0.061, 3.0, 13.0, 0.996, 3.23, 1.1, 10.0, 8
6.2, 0.52, 0.08, 4.4, 0.071, 11.0, 32.0, 0.99646, 3.56, 0.63, 11.6, 6
6.7, 0.7, 0.08, 3.75, 0.067, 8.0, 16.0, 0.99334, 3.43, 0.52, 12.6, 5
7.7, 0.96, 0.2, 2.0, 0.047, 15.0, 60.0, 0.9955, 3.36, 0.44, 10.9, 5
9.3, 0.38, 0.48, 3.8, 0.132, 3.0, 11.0, 0.99577, 3.23, 0.57, 13.2, 6
8.9, 0.48, 0.53, 4.0, 0.10099999999999999, 3.0, 10.0, 0.9958600000000001, 3.21, 0.59, 12.1, 7
7.2, 0.52, 0.07, 1.4, 0.07400000000000001, 5.0, 20.0, 0.9973, 3.32, 0.81, 9.6, 6
10.0, 0.48, 0.24, 2.7, 0.102, 13.0, 32.0, 1.0, 3.28, 0.56, 10.0, 6
10.5, 0.59, 0.49, 2.1, 0.07, 14.0, 47.0, 0.9991, 3.3, 0.56, 9.6, 4
9.1, 0.66, 0.15, 3.2, 0.09699999999999999, 9.0, 59.0, 0.99976, 3.28, 0.54, 9.6, 5
10.4, 0.41, 0.55, 3.2, 0.076, 22.0, 54.0, 0.9996, 3.15, 0.89, 9.9, 6
6.2, 0.46, 0.17, 1.6, 0.073, 7.0, 11.0, 0.99425, 3.61, 0.54, 11.4, 5
8.8, 0.61, 0.14, 2.4, 0.067, 10.0, 42.0, 0.9969, 3.19, 0.59, 9.5, 5
6.7, 0.28, 0.28, 2.4, 0.012, 36.0, 100.0, 0.99064, 3.26, 0.39, 11.7, 7
10.5, 0.36, 0.47, 2.2, 0.07400000000000001, 9.0, 23.0, 0.9963799999999999, 3.23, 0.76, 12.0, 6
7.7, 0.69, 0.49, 1.8, 0.115, 20.0, 112.0, 0.9968, 3.21, 0.71, 9.3, 5
7.1, 0.6, 0.0, 1.8, 0.07400000000000001, 16.0, 34.0, 0.9972, 3.47, 0.7, 9.9, 6
6.7, 0.46, 0.24, 1.7, 0.077, 18.0, 34.0, 0.9948, 3.39, 0.6, 10.6, 6
9.1, 0.29, 0.33, 2.05, 0.063, 13.0, 27.0, 0.99516, 3.26, 0.84, 11.7, 7
7.5, 0.65, 0.18, 7.0, 0.08800000000000001, 27.0, 94.0, 0.99915, 3.38, 0.77, 9.4, 5
9.0, 0.82, 0.05, 2.4, 0.081, 26.0, 96.0, 0.9981399999999999, 3.36, 0.53, 10.0, 5
8.7, 0.765, 0.22, 2.3, 0.064, 9.0, 42.0, 0.9963, 3.1, 0.55, 9.4, 5
7.0, 0.58, 0.28, 4.8, 0.085, 12.0, 69.0, 0.9963299999999999, 3.32, 0.7, 11.0, 6
7.3, 0.58, 0.3, 2.4, 0.07400000000000001, 15.0, 55.0, 0.9968, 3.46, 0.59, 10.2, 5
9.9, 0.59, 0.07, 3.4, 0.102, 32.0, 71.0, 1.00015, 3.31, 0.71, 9.8, 5
9.4, 0.59, 0.14, 2.0, 0.084, 25.0, 48.0, 0.9981, 3.14, 0.56, 9.7, 5
7.5, 0.4, 0.18, 1.6, 0.079, 24.0, 58.0, 0.9965, 3.34, 0.58, 9.4, 5
7.1, 0.71, 0.0, 1.9, 0.08, 14.0, 35.0, 0.9972, 3.47, 0.55, 9.4, 5
11.3, 0.36, 0.66, 2.4, 0.12300000000000001, 3.0, 8.0, 0.9964200000000001, 3.2, 0.53, 11.9, 6
7.4, 0.55, 0.19, 1.8, 0.08199999999999999, 15.0, 34.0, 0.99655, 3.49, 0.68, 10.5, 5
7.1, 0.59, 0.02, 2.3, 0.08199999999999999, 24.0, 94.0, 0.99744, 3.55, 0.53, 9.7, 6
7.6, 0.48, 0.31, 2.8, 0.07, 4.0, 15.0, 0.9969299999999999, 3.22, 0.55, 10.3, 6
11.4, 0.26, 0.44, 3.6, 0.071, 6.0, 19.0, 0.9986, 3.12, 0.82, 9.3, 6
8.1, 0.66, 0.22, 2.2, 0.069, 9.0, 23.0, 0.9968, 3.3, 1.2, 10.3, 5
5.6, 0.5, 0.09, 2.3, 0.049, 17.0, 99.0, 0.9937, 3.63, 0.63, 13.0, 5
8.1, 0.825, 0.24, 2.1, 0.084, 5.0, 13.0, 0.9972, 3.37, 0.77, 10.7, 6
8.0, 0.77, 0.32, 2.1, 0.079, 16.0, 74.0, 0.99656, 3.27, 0.5, 9.8, 6
9.0, 0.53, 0.49, 1.9, 0.171, 6.0, 25.0, 0.9975, 3.27, 0.61, 9.4, 6
7.1, 0.755, 0.15, 1.8, 0.107, 20.0, 84.0, 0.99593, 3.19, 0.5, 9.5, 5
8.9, 0.62, 0.18, 3.8, 0.17600000000000002, 52.0, 145.0, 0.9986, 3.16, 0.88, 9.2, 5
9.3, 0.43, 0.44, 1.9, 0.085, 9.0, 22.0, 0.99708, 3.28, 0.55, 9.5, 5
10.6, 1.02, 0.43, 2.9, 0.076, 26.0, 88.0, 0.9984, 3.08, 0.57, 10.1, 6
8.8, 0.27, 0.46, 2.1, 0.095, 20.0, 29.0, 0.9948799999999999, 3.26, 0.56, 11.3, 6
7.2, 0.53, 0.14, 2.1, 0.064, 15.0, 29.0, 0.99323, 3.35, 0.61, 12.1, 6
7.9, 0.33, 0.23, 1.7, 0.077, 18.0, 45.0, 0.99625, 3.29, 0.65, 9.3, 5
6.8, 0.47, 0.08, 2.2, 0.064, 18.0, 38.0, 0.9955299999999999, 3.3, 0.65, 9.6, 6
8.8, 0.47, 0.49, 2.9, 0.085, 17.0, 110.0, 0.9982, 3.29, 0.6, 9.8, 5
6.2, 0.46, 0.29, 2.1, 0.07400000000000001, 32.0, 98.0, 0.9957799999999999, 3.33, 0.62, 9.8, 5
7.0, 0.69, 0.0, 1.9, 0.114, 3.0, 10.0, 0.99636, 3.35, 0.6, 9.7, 6
9.0, 0.785, 0.24, 1.7, 0.078, 10.0, 21.0, 0.99692, 3.29, 0.67, 10.0, 5
6.6, 0.735, 0.02, 7.9, 0.122, 68.0, 124.0, 0.9994, 3.47, 0.53, 9.9, 5
7.1, 0.65, 0.18, 1.8, 0.07, 13.0, 40.0, 0.997, 3.44, 0.6, 9.1, 5
9.2, 0.46, 0.23, 2.6, 0.091, 18.0, 77.0, 0.9992200000000001, 3.15, 0.51, 9.4, 5
5.3, 0.715, 0.19, 1.5, 0.161, 7.0, 62.0, 0.99395, 3.62, 0.61, 11.0, 5
7.5, 0.42, 0.31, 1.6, 0.08, 15.0, 42.0, 0.9978, 3.31, 0.64, 9.0, 5
7.4, 0.6, 0.26, 7.3, 0.07, 36.0, 121.0, 0.9982, 3.37, 0.49, 9.4, 5
8.0, 0.43, 0.36, 2.3, 0.075, 10.0, 48.0, 0.9976, 3.34, 0.46, 9.4, 5
9.6, 0.32, 0.47, 1.4, 0.055999999999999994, 9.0, 24.0, 0.99695, 3.22, 0.82, 10.3, 7
13.3, 0.34, 0.52, 3.2, 0.094, 17.0, 53.0, 1.0014, 3.05, 0.81, 9.5, 6
6.2, 0.58, 0.0, 1.6, 0.065, 8.0, 18.0, 0.9966, 3.56, 0.84, 9.4, 5
10.9, 0.32, 0.52, 1.8, 0.132, 17.0, 44.0, 0.99734, 3.28, 0.77, 11.5, 6
10.3, 0.44, 0.5, 4.5, 0.107, 5.0, 13.0, 0.998, 3.28, 0.83, 11.5, 5
9.2, 0.41, 0.5, 2.5, 0.055, 12.0, 25.0, 0.9952, 3.34, 0.79, 13.3, 7
7.4, 0.66, 0.0, 1.8, 0.075, 13.0, 40.0, 0.9978, 3.51, 0.56, 9.4, 5
7.0, 0.54, 0.09, 2.0, 0.081, 10.0, 16.0, 0.99479, 3.43, 0.59, 11.5, 6
8.7, 0.29, 0.52, 1.6, 0.113, 12.0, 37.0, 0.9969, 3.25, 0.58, 9.5, 5
7.3, 0.44, 0.2, 1.6, 0.049, 24.0, 64.0, 0.9935, 3.38, 0.57, 11.7, 6
7.3, 0.4, 0.3, 1.7, 0.08, 33.0, 79.0, 0.9969, 3.41, 0.65, 9.5, 6
10.1, 0.31, 0.44, 2.3, 0.08, 22.0, 46.0, 0.9988, 3.32, 0.67, 9.7, 6
6.1, 0.53, 0.08, 1.9, 0.077, 24.0, 45.0, 0.9952799999999999, 3.6, 0.68, 10.3, 6
5.0, 0.74, 0.0, 1.2, 0.040999999999999995, 16.0, 46.0, 0.9925799999999999, 4.01, 0.59, 12.5, 6
7.7, 0.61, 0.18, 2.4, 0.083, 6.0, 20.0, 0.9963, 3.29, 0.6, 10.2, 6
7.0, 0.43, 0.02, 1.9, 0.08, 15.0, 28.0, 0.99492, 3.35, 0.81, 10.6, 6
8.5, 0.34, 0.4, 4.7, 0.055, 3.0, 9.0, 0.9973799999999999, 3.38, 0.66, 11.6, 7
8.7, 0.625, 0.16, 2.0, 0.10099999999999999, 13.0, 49.0, 0.9962, 3.14, 0.57, 11.0, 5
7.2, 0.66, 0.03, 2.3, 0.078, 16.0, 86.0, 0.9974299999999999, 3.53, 0.57, 9.7, 5
10.1, 0.31, 0.35, 1.6, 0.075, 9.0, 28.0, 0.99672, 3.24, 0.83, 11.2, 7
12.7, 0.6, 0.49, 2.8, 0.075, 5.0, 19.0, 0.9994, 3.14, 0.57, 11.4, 5
7.2, 0.38, 0.31, 2.0, 0.055999999999999994, 15.0, 29.0, 0.99472, 3.23, 0.76, 11.3, 8
8.8, 0.33, 0.41, 5.9, 0.073, 7.0, 13.0, 0.9965799999999999, 3.3, 0.62, 12.1, 7
8.2, 0.33, 0.32, 2.8, 0.067, 4.0, 12.0, 0.9947299999999999, 3.3, 0.76, 12.8, 7
7.4, 0.37, 0.43, 2.6, 0.08199999999999999, 18.0, 82.0, 0.99708, 3.33, 0.68, 9.7, 6
7.2, 0.61, 0.08, 4.0, 0.08199999999999999, 26.0, 108.0, 0.99641, 3.25, 0.51, 9.4, 5
8.3, 0.26, 0.37, 1.4, 0.076, 8.0, 23.0, 0.9974, 3.26, 0.7, 9.6, 6
8.4, 0.36, 0.32, 2.2, 0.081, 32.0, 79.0, 0.9964, 3.3, 0.72, 11.0, 6
5.8, 0.61, 0.11, 1.8, 0.066, 18.0, 28.0, 0.9948299999999999, 3.55, 0.66, 10.9, 6
7.2, 0.63, 0.0, 1.9, 0.09699999999999999, 14.0, 38.0, 0.99675, 3.37, 0.58, 9.0, 6
7.6, 1.58, 0.0, 2.1, 0.13699999999999998, 5.0, 9.0, 0.9947600000000001, 3.5, 0.4, 10.9, 3
7.2, 0.695, 0.13, 2.0, 0.076, 12.0, 20.0, 0.99546, 3.29, 0.54, 10.1, 5
7.3, 0.43, 0.24, 2.5, 0.078, 27.0, 67.0, 0.9964799999999999, 3.6, 0.59, 11.1, 6
7.1, 0.43, 0.17, 1.8, 0.08199999999999999, 27.0, 51.0, 0.99634, 3.49, 0.64, 10.4, 5
9.7, 0.31, 0.47, 1.6, 0.062, 13.0, 33.0, 0.9983, 3.27, 0.66, 10.0, 6
7.6, 0.42, 0.08, 2.7, 0.084, 15.0, 48.0, 0.9968, 3.21, 0.59, 10.0, 5
9.0, 0.4, 0.43, 2.4, 0.068, 29.0, 46.0, 0.9943, 3.2, 0.6, 12.2, 6
7.7, 0.27, 0.68, 3.5, 0.358, 5.0, 10.0, 0.9972, 3.25, 1.08, 9.9, 7
6.9, 0.63, 0.02, 1.9, 0.078, 18.0, 30.0, 0.9971200000000001, 3.4, 0.75, 9.8, 5
10.7, 0.67, 0.22, 2.7, 0.107, 17.0, 34.0, 1.0004, 3.28, 0.98, 9.9, 6
10.1, 0.43, 0.4, 2.6, 0.092, 13.0, 52.0, 0.99834, 3.22, 0.64, 10.0, 7
6.1, 0.34, 0.25, 1.8, 0.084, 4.0, 28.0, 0.99464, 3.36, 0.44, 10.1, 5
